t, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta
0.667500, 0.433013, 0.411114, 2.094395, 1.255275
0.669000, 0.433013, 0.411698, 2.094395, 1.253615
0.670500, 0.433013, 0.412280, 2.094395, 1.251961
0.672000, 0.433013, 0.412858, 2.094395, 1.250314
0.673500, 0.433013, 0.413434, 2.094395, 1.248673
0.675000, 0.433013, 0.414008, 2.094395, 1.247039
0.676500, 0.433013, 0.414578, 2.094395, 1.245411
0.678000, 0.433013, 0.415145, 2.094395, 1.243790
0.679500, 0.433013, 0.415708, 2.094395, 1.242175
0.681000, 0.433013, 0.416267, 2.094395, 1.240565
0.682500, 0.433013, 0.416822, 2.094395, 1.238963
0.684000, 0.433013, 0.417374, 2.094395, 1.237367
0.685500, 0.433013, 0.417923, 2.094395, 1.235778
0.687000, 0.433013, 0.418468, 2.094395, 1.234196
0.688500, 0.433013, 0.419009, 2.094395, 1.232621
0.690000, 0.433013, 0.419548, 2.094395, 1.231053
0.691500, 0.433013, 0.420083, 2.094395, 1.229493
0.693000, 0.433013, 0.420615, 2.094395, 1.227940
0.694500, 0.433013, 0.421143, 2.094395, 1.226395
0.696000, 0.433013, 0.421668, 2.094395, 1.224857
0.697500, 0.433013, 0.422189, 2.094395, 1.223326
0.699000, 0.433013, 0.422707, 2.094395, 1.221803
0.700500, 0.433013, 0.423221, 2.094395, 1.220288
0.702000, 0.433013, 0.423731, 2.094395, 1.218779
0.703500, 0.433013, 0.424238, 2.094395, 1.217279
0.705000, 0.433013, 0.424740, 2.094395, 1.215786
0.706500, 0.433013, 0.425239, 2.094395, 1.214300
0.708000, 0.433013, 0.425734, 2.094395, 1.212822
0.709500, 0.433013, 0.426225, 2.094395, 1.211352
0.711000, 0.433013, 0.426712, 2.094395, 1.209889
0.712500, 0.433013, 0.427195, 2.094395, 1.208434
0.714000, 0.433013, 0.427673, 2.094395, 1.206987
